pos	rup	ron
art proclitic invar	a	al, a, ai, ale,
conj-adversativ	a	dar
prep	a	de-a
conj-adversativ	a	iar
conj-adversativ	a	iară
conj-adversativ	a	însă
prep	a	la
conj	a	şi
pron	a doauloru	celor două
pron	a doiloru	celor doi
num ord	a patura	a patra
sm	abagi, abageadz	abagiu - comerciant de aba
sf fpl	abanozi	abanos
vb 3+2	abatu - mi	abate
vb 3+2	abatu - mi	contraveni
vb 3+2	abatu - mi	depărta
vb 3+2	abatu - mi	devia
vb 3+2	abatu - mi	distrage
vb 3+2	abatu - mi	divaga
sm	abă, abadz	aba - stofă groasă
sm	abă, abadz	dimie
sn	abelu	pietricea la jocul copiilor
adv	abitiri	mult, mai
adv	abitiri	rău, mai
adv	abitiri	tare, mai
adj	abrashcu	impertinent
adj	abrashcu	obraznic
adj	abrashu	galben deschis
sf	aburari	aburare
vb 1	aburedzu - mi	abura ,v
vb 1	aburedzu - mi	aburi a scoate, v
vb 1	aburedzu - mi	şopti - fig
sm? pl?	aburi	abundenţă
sm? pl?	aburi	avere
sf	aburii	avere
sf	aburii	noroc
adj	aburosu	aburos
adj	aburosu	vaporos
sm	aburu	abur
sm	aburu	vapor de apă
adv	abusheala	buşilea
adv	abushila	buşilea
sf	abushilari	mers în 4 labe
adj	abushilatu	cu 4 picioare
vb 1	abushiledzu - mi	merge de-abuşilea
adv	aca	nu
adv	acabeti	fine, în
adv	acabeti	sfârşit, în
vb 4	acâkisescu - mi	asculta - fig
vb 4	acâkisescu - mi	cădea de acord
vb 4	acâkisescu - mi	concepe
vb 4	acâkisescu - mi	conveni
vb 4	acâkisescu - mi	conveni cu cineva
vb 4	acâkisescu - mi	dumeri
vb 4	acâkisescu - mi	explica, a-şi
vb 4	acâkisescu - mi	interpreta
vb 4	acâkisescu - mi	împăca
vb 4	acâkisescu - mi	înţelege, v
vb 4	acâkisescu - mi	învoi, a se
vb 4	acâkisescu - mi	pactiza
vb 4	acâkisescu - mi	pătrunde sensul
vb 4	acâkisescu - mi	percepe
vb 4	acâkisescu - mi	pricepe
vb 4	acâkisescu - mi	sesiza
vb 4	acâkisescu - mi	simţi
vb 4	acâlisescu - mi	chema
vb 4	acâlisescu - mi	cita
vb 4	acâlisescu - mi	convoca
vb 4	acâlisescu - mi	invita
vb 4	acâlisescu - mi	pofti
vb 4	acâlisescu - mi	provoca - fig
vb 4	acâlisescu - mi	soma
vb 4	acâljisescu - mi	chema
vb 4	acâljisescu - mi	cita
vb 4	acâljisescu - mi	convoca
vb 4	acâljisescu - mi	invita
vb 4	acâljisescu - mi	pofti
vb 4	acâljisescu - mi	provoca - fig
vb 4	acâljisescu - mi	soma
adj	acâmatu	leneş
sf	acareti	imobil
pron relativ	acari	cine
sf	acâri	deal golaş
sf	acâri	loc pleşuv
adj	acârsatu	roşietic
adv	acasâ	acasă
sf	acatastasi	dezordine
sf	acâtâstâsii	dezordine
adj	acâtsatu	amărât
sf	acâtsâturâ	agăţătură
sf	acâtsâturâ	cauză
sf	acâtsâturâ	greşeală
sf	acâtsâturâ	motiv
sf	acâtsâturâ	pariu
sf	acâtsâturâ	pretext
vb 1	acatsu	concepe pui - fig
vb 1	acatsu	începe - fig
vb 1	acatsu	închiria - fig
vb 1	acatsu	ocupa - mi
vb 1	acatsu	procrea - fig
vb 1	acatsu	zămisli - fig
vb 1	acatsu - mi	acroşa
vb 1	acatsu - mi	agăţa
vb 1	acatsu - mi	anina
vb 1	acatsu - mi	apuca
vb 1	acatsu - mi	atârna
vb 1	acatsu - mi	cuprinde
vb 1	acatsu - mi	da bine - fig
vb 1	acatsu - mi	sta bine ceva cuiva
vb 1	acatsu - mi	fixa
vb 1	acatsu - mi	îndrepta spre
vb 1	acatsu - mi	înhăţa
vb 1	acatsu - mi	lua-o spre
vb 1	acatsu - mi	porni
vb 1	acatsu - mi	prinde
vb 1	acatsu - mi	spânzura
vb 1	acatsu - mi	suspenda
vb 4	acâzânsescu	beneficia de
vb 4	acâzânsescu	câştiga
vb 4	acâzânsescu	căpăta
vb 4	acâzânsescu	cuceri
vb 4	acâzânsescu	dobândi
vb 4	acâzânsescu	izbândi
vb 4	acâzânsescu	repurta
vb impers	acljeamâ, si	însemna, v
vb impers	acljeamâ, si	semnifica
vb impers	acljeamâ, si	simboliza
vb 1	acljem - mi	chema
vb 1	acljem - mi	cita
vb 1	acljem - mi	convoca
vb 1	acljem - mi	invita
vb 1	acljem - mi	numi, se
vb 4	acljem - mi	pofti
vb 4	acljem - mi	provoca - fig
vb 4	acljem - mi	soma
adv	aclo	acolo
adv	acloia	acolo
adv	aclotsi	acolo
sf	acmageai	şoim
adv	acmotsi	acum
adv	aco	acolo
sf fpl	acoalâ	amidon
sf	acoalâ	coală de hârtie
sf fpl	acoalâ	scrobeală
vb 4	acoapiru - mi	acoperi, v
vb 4	acoapiru - mi	ascunde
vb 4	acoapiru - mi	înveli
vb 4	acoapiru - mi	masca
vb 4	acoapiru - mi	parcurge
vb 4	acoapiru - mi	astupa
vb 4	acoapiru - mi	ingropa - fig
sf	aconi	piatră de ascuţit
sf	acrâturâ	acritură
adj	acrearcu	acru
sf	acreashtiri	creştere
vb 4	acrescu	creşte, v
vb 4	acrescu	cultiva
vb 3+2	acrescu	cultiva
vb 4	acrescu	dezvolta, se
vb 3+2	acrescu	dezvolta, se
vb 4	acrescu	extinde
vb 3+2	acrescu	extinde
vb 4	acrescu	intensifica
vb 3+2	acrescu	intensifica
vb 4	acrescu	înălţa
vb 3+2	acrescu	înălţa
vb 4	acrescu	înmulţi
vb 3+2	acrescu	înmulţi
vb 4	acrescu	înteţi
vb 3+2	acrescu	înteţi
vb 4	acrescu	mări, se
vb 3+2	acrescu	mări, se
vb 4	acrescu	progresa
vb 3+2	acrescu	progresa
vb 4	acrescu	ridica, se
vb 3+2	acrescu	ridica, se
vb 4	acrescu	spori
vb 3+2	acrescu	spori
vb 4	acrescu,	acri, v
vb 4	acrescu,	altera
vb 4	acrescu,	dospi
vb 4	acrescu,	educa, v
vb 4	acrescu,	mura
vb 4	acrescu,	oţeti
vb 4	acrescu,	ridica, v
sf	acridhâ	lăcustă
adv	acrifa	furiş, pe
sm	acrifo, acrifadz	secret
sf	acrimi	bulion
sf	acrinâ	baniţă
sf	acrinâ	ladă
sf	acrinâ	stup
sf	acriri	acrire
adj	acrişoru	acrişor
sn	acrişu	acreală
adj	acritu	acrit
sf	acroari	frig
adj	acru	acru
sf	acruyealjeauâ	litoral
sf	acruyealjeauâ	ţărm
vb 4	acsescu	atinge, v
vb 4	acsescu	lovi uşor
sf	acshali	imbold
sf	acshali	impuls
sf	acshali	impulsionare
sf	acshali	îmboldire
sf	acshali	îndemn
sf	acshali	îndemnare
sf	acshali	pornire
sf	acshali	stimul
sf	acshali	stimulare
sf	acshali	stimulent
adv	acshe	aşa
adv	acshi	aşa
adv	acshia	aşa
adv	acshitsi	aşa
adj	acshu	capabil
adj	acshu	vrednic
sn	acu	ac
sf	aculâ	castel
adv	aculea	colea
adv	aculotsi	acolo
vb 4	aculsescu - mi	adera
vb 4	aculsescu - mi	alipi
vb 4	aculsescu - mi	atinge - fig
vb 4	aculsescu - mi	încleia
vb 4	aculsescu - mi	lipi, v
vb 4	aculsescu - mi	plezni o palmă - fig
vb 4	aculsescu - mi	reuni
vb 4	aculsescu - mi	suda
vb 4	aculsescu - mi	tencui
vb 4	aculsescu - mi	uni
sf	aculuthii	serviciu religios
vb 1	acumbâru	asculta - fig
vb 1	acumbâru	cumpăra, v
vb 1	acumbâru	pricepe - fig
vb 1	acumbâru	procura, v
vb 1	acumbâru	târgui
vb 4	acumbusescu - mi	propti
vb 4	acumbusescu - mi	rezema, v a se
vb 4	acumbusescu - mi	sprijini
vb 4	acumbusescu - mi	susţine
vb 1	acumpâru - mi	asculta - fig
vb 1	acumpâru - mi	cumpăra, v
vb 1	acumpâru - mi	pricepe - fig
vb 1	acumpâru - mi	procura, v
vb 1	acumpâru - mi	târgui
sf fpl	acumpratâ	cumpărătură
vb 1	acumpru	asculta - fig
vb 1	acumpru	cumpăra, v
vb 1	acumpru	pricepe - fig
vb 1	acumpru	procura, v
vb 1	acumpru	târgui
vb 4	acumsescu - mi	propti
vb 4	acumsescu - mi	rezema, v a se
vb 4	acumsescu - mi	sprijini
vb 4	acumsescu - mi	susţine
sm fpl	acumtil	contenire
sm fpl	acumtil	reazem
sm fpl	acumtin	contenire
sm fpl	acumtin	reazem
vb 1	acumtin - mi	adăposti, v
vb 1	acumtin - mi	conteni
vb 1	acumtin - mi	înceta, v
vb 1	acumtin - mi	întrerupe
vb 1	acumtin - mi	odihni - fig
vb 1	acumtin - mi	opri, v
vb 1	acumtin - mi	potoli, v, a se
vb 1	acumtin - mi	sista
vb 1	acumtin - mi	suspenda
vb 4	acumtinescu - mi	adăposti, v
vb 4	acumtinescu - mi	conteni
vb 4	acumtinescu - mi	înceta, v
vb 4	acumtinescu - mi	întrerupe
vb 4	acumtinescu - mi	odihni - fig
vb 4	acumtinescu - mi	opri, v
vb 4	acumtinescu - mi	potoli, v, a se
vb 4	acumtinescu - mi	sista
vb 4	acumtinescu - mi	suspenda
vb 1	acundinu - mi	atinge, v
vb 4	acundisescu	adăposti, v
vb 4	acundisescu	conteni
vb 4	acundisescu	înceta, v
vb 4	acundisescu	întrerupe
vb 4	acundisescu	odihni - fig
vb 4	acundisescu	opri, v
vb 4	acundisescu	potoli, v, a se
vb 4	acundisescu	sista
vb 4	acundisescu	suspenda
vb 1	acuntinu	adăposti, v
vb 1	acuntinu	conteni
vb 1	acuntinu	înceta, v
vb 1	acuntinu	întrerupe
vb 1	acuntinu	odihni - fig
vb 1	acuntinu	opri, v
vb 1	acuntinu	potoli, v, a se
vb 1	acuntinu	sista
vb 1	acuntinu	suspenda
sn	acupirâmindu	acoperământ
sf	acupirâturâ	acoperitură
adj	acupiritu	acoperit
adj	acupiritu	ipocrit - fig
adv	acushi	acum
adv	a-cu-totalui	tot, de
adv	a-cu-totalui	total
vb 1	acuvândedzu	cuvânta, v
vb 1	acuvândedzu	rosti
vb 1	acuvândedzu	spune
vb 1	acuvândedzu	vorbi
vb 1	acuvândedzu	zice
vb 1	adâlagu	alerga
vb 1	adâlagu	căuta - fig
vb 1	adâlagu	cutreiera
vb 1	adâlagu	fugări
vb 1	adâlagu	fugi
vb 1	adâlagu	goni
vb 1	adâlagu	grăbi, a se
adj	adânc	profund
adv	adanca	adânc
adv	adanca	profund
adv	adânca	adânc
adv	adânca	profund
sf	adâncari	adâncire
adj	adâncosu	adânc
adv	adâncosu	adânc
adj	adâncu	adânc
invar	adap(i)	arşice - om
sf	adâpâturâ	adăpătură
adj	adapsu	adăugat
adj	adaptu	adăugat
vb 1	adapu - mi	adăpa, v
vb 1	adapu - mi	bea apă
sn	adârâmintu	edificiu
sn	adârâmintu	lucrare
sn	adârâmintu	operă
sf	adârari	durare
adj	adâratu	durat
sf	adârâturâ	lucrătură
vb 1	adaru - mi	alcătui
vb 1	adaru - mi	clădi
vb 1	adaru - mi	construi, v
vb 1	adaru - mi	creea, v
vb 1	adaru - mi	drege, v
vb 1	adaru - mi	fabrica
vb 1	adaru - mi	face, v
vb 1	adaru - mi	făuri
vb 1	adaru - mi	forma, v
vb 1	adaru - mi	împodobi, - fig
vb 1	adaru - mi	întocmi
vb 1	adaru - mi	realiza
vb 1	adastu - mi	adăsta / aştepta
vb 1	adastu - mi	aştepta
vb 1	adastu - mi	zăbovi
sn	adâvgâmintu	adaos
sf	adâvgâturâ	adaos
vb 3+2	adavgu	adăuga, v
vb 3+2	adavgu	amplifica -v
vb 3+2	adavgu	da în plus
vb 3+2	adavgu	mări, v
vb 3+2	adavgu	multiplica
vb 3+2	adavgu	pune peste
vb 3+2	adavgu	spori
adv	adeaneavra	adineaori
adv	adeca	nedrept
sf	adeti	obicei
adj	adhic	injust
adj	adhic	nedrept
adv	adhica	injust
adv	adhica	nedrept
sf	adhie	permisiune
vb 4	adhiki(p)sescu - mi	nedreptăţi, v
vb 4	adhiki(p)sescu - mi	persecuta
sf	adhikii	inechitate
